UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
445850,"R",17,"R",0,"R",17,"R",2,"R",8,"R",0,"R",0,"R",9,"R",15,"Z",0,"R",15,"R",7,"R",0,"Z",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",1
445911,"R",497,"R",0,"R",497,"R",166,"R",301,"Z",0,"R",2,"R",194,"R",361,"Z",0,"R",361,"R",209,"R",85,"Z",0,"R",85,"R",62,"R",51,"Z",0,"R",51,"R",30
446093,"R",31,"R",0,"R",31,"R",11,"R",21,"R",0,"R",0,"R",10,"R",24,"Z",0,"R",24,"R",17,"R",3,"Z",0,"R",3,"R",3,"R",4,"Z",0,"R",4,"R",1
446206,"R",27,"R",0,"R",27,"R",24,"R",24,"R",0,"R",0,"R",3,"R",18,"Z",0,"R",18,"R",18,"R",3,"Z",0,"R",3,"R",3,"R",6,"Z",0,"R",6,"R",3
446242,"R",62,"R",0,"R",62,"R",19,"R",25,"Z",0,"R",1,"R",36,"R",61,"Z",0,"R",61,"R",25,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0
446251,"R",9,"R",0,"R",9,"R",3,"R",3,"R",0,"R",0,"R",6,"R",9,"Z",0,"R",9,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
446260,"R",102,"R",0,"R",102,"R",64,"R",78,"R",0,"R",0,"R",24,"R",68,"Z",0,"R",68,"R",53,"R",34,"Z",0,"R",34,"R",25,"R",0,"Z",0,"R",0,"R",0
446288,"R",16,"R",0,"R",16,"R",0,"R",14,"R",0,"R",0,"R",2,"R",7,"Z",0,"R",7,"R",7,"R",5,"Z",0,"R",5,"R",3,"R",4,"Z",0,"R",4,"R",4
446349,"R",1,"R",0,"R",1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
446455,"R",26,"R",0,"R",26,"R",22,"R",22,"R",0,"R",0,"R",4,"R",10,"Z",0,"R",10,"R",10,"R",14,"Z",0,"R",14,"R",12,"R",2,"Z",0,"R",2,"R",0
446516,"R",11,"R",0,"R",11,"R",8,"R",8,"R",0,"R",0,"R",3,"R",11,"Z",0,"R",11,"R",8,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
446534,"R",24,"R",0,"R",24,"R",10,"R",16,"R",0,"R",0,"R",8,"R",24,"Z",0,"R",24,"R",16,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
446996,"R",37,"R",0,"R",37,"R",15,"R",22,"R",0,"R",0,"R",15,"R",34,"Z",0,"R",34,"R",19,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0
447023,"R",267,"R",0,"R",267,"R",193,"R",193,"R",0,"R",0,"R",74,"R",219,"Z",0,"R",219,"R",158,"R",34,"Z",0,"R",34,"R",25,"R",14,"Z",0,"R",14,"R",10
447148,"R",76,"R",0,"R",76,"R",0,"R",40,"R",0,"R",0,"R",36,"R",63,"Z",0,"R",63,"R",32,"R",7,"Z",0,"R",7,"R",5,"R",6,"Z",0,"R",6,"R",3
447166,"R",25,"R",0,"R",25,"R",0,"R",14,"R",0,"R",0,"R",11,"R",24,"Z",0,"R",24,"R",14,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0
447175,"R",18,"R",0,"R",18,"R",0,"R",10,"R",0,"R",0,"R",8,"R",15,"Z",0,"R",15,"R",9,"R",3,"Z",0,"R",3,"R",1,"R",0,"Z",0,"R",0,"R",0
447430,"R",33,"R",0,"R",33,"R",0,"R",27,"R",0,"R",0,"R",6,"R",27,"Z",0,"R",27,"R",26,"R",2,"Z",0,"R",2,"R",1,"R",4,"Z",0,"R",4,"R",0
447449,"R",33,"Z",0,"R",33,"R",32,"R",32,"Z",0,"R",1,"R",0,"R",33,"Z",0,"R",33,"R",32,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
447467,"R",234,"R",0,"R",234,"R",131,"R",151,"R",0,"R",1,"R",82,"R",183,"Z",0,"R",183,"R",121,"R",48,"Z",0,"R",48,"R",27,"R",3,"Z",0,"R",3,"R",3
